target,task,model,metric,estimate,ci_low,ci_high,n_subjects
PhonemicFluencyScore,cookieTheft,acoustic,r2,0.012081733085581813,-0.056705590888309586,0.06035776846346698,970
PhonemicFluencyScore,cookieTheft,acoustic,rmse,4.613881955940515,4.387409301148866,4.8697698088164225,970
PhonemicFluencyScore,cookieTheft,acoustic,mae,3.655700026425912,3.485967918156497,3.8214761085867237,970
PhonemicFluencyScore,cookieTheft,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,cookieTheft,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,cookieTheft,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,cookieTheft,demographics,r2,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970
PhonemicFluencyScore,cookieTheft,demographics,rmse,4.60995278538301,4.396851657191826,4.834972731124061,970
PhonemicFluencyScore,cookieTheft,demographics,mae,3.6830629725882327,3.507446476702891,3.8453227833894337,970
PhonemicFluencyScore,cookieTheft,full,r2,0.003594289473713485,-0.05975305683107004,0.06592319806561939,970
PhonemicFluencyScore,cookieTheft,full,rmse,4.633480133814648,4.408695543756923,4.888341453277891,970
PhonemicFluencyScore,cookieTheft,full,mae,3.6354520240353323,3.46835988198372,3.817578229301411,970
PhonemicFluencyScore,cookieTheft,linguistic,r2,-0.0031321461892949605,-0.043969379627686926,0.03688496410657056,970
PhonemicFluencyScore,cookieTheft,linguistic,rmse,4.649716410975873,4.446134252114973,4.907355283226958,970
PhonemicFluencyScore,cookieTheft,linguistic,mae,3.679691721775032,3.513311077963831,3.854712068776433,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,r2,0.007757674102822467,-0.05345317429573322,0.06925386657130382,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,rmse,4.62384469410138,4.3979730553529235,4.879059808251586,970
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,mae,3.6232913686998245,3.4555882071279167,3.8069021953116096,970
PhonemicFluencyScore,journaling,acoustic,r2,0.03860013585793775,0.008261996612852958,0.07012382504513773,970
PhonemicFluencyScore,journaling,acoustic,rmse,4.551997703071354,4.347912850398541,4.7720757591188185,970
PhonemicFluencyScore,journaling,acoustic,mae,3.631060581680749,3.4571762351965565,3.7949652027396037,970
PhonemicFluencyScore,journaling,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,journaling,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,journaling,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,journaling,demographics,r2,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970
PhonemicFluencyScore,journaling,demographics,rmse,4.60995278538301,4.396851657191826,4.834972731124061,970
PhonemicFluencyScore,journaling,demographics,mae,3.6830629725882327,3.507446476702891,3.8453227833894337,970
PhonemicFluencyScore,journaling,full,r2,0.009721638950960345,-0.035879921435870064,0.056049309420909244,970
PhonemicFluencyScore,journaling,full,rmse,4.619444786957499,4.4050254697832205,4.831044974655643,970
PhonemicFluencyScore,journaling,full,mae,3.6897581507213397,3.5198989626874777,3.8569067054436204,970
PhonemicFluencyScore,journaling,linguistic,r2,-0.030212006773285154,-0.06684215541884281,0.0038842185002910313,970
PhonemicFluencyScore,journaling,linguistic,rmse,4.712040113474213,4.495260411336545,4.946284456610034,970
PhonemicFluencyScore,journaling,linguistic,mae,3.7745701858962213,3.5998130753622286,3.937059536484284,970
PhonemicFluencyScore,journaling,linguistic+acoustic,r2,0.007039735117312297,-0.03931590100088624,0.05227473386287658,970
PhonemicFluencyScore,journaling,linguistic+acoustic,rmse,4.625700111860839,4.414683076589142,4.839932276947124,970
PhonemicFluencyScore,journaling,linguistic+acoustic,mae,3.6899622527171654,3.51938245202193,3.8601805041503447,970
PhonemicFluencyScore,picnicScene,acoustic,r2,0.034825391177167174,-6.581425319796082e-05,0.06539230218093628,970
PhonemicFluencyScore,picnicScene,acoustic,rmse,4.560844998668316,4.363705663292839,4.7822684725557725,970
PhonemicFluencyScore,picnicScene,acoustic,mae,3.6357688603226808,3.4726419653984886,3.8022617450095337,970
PhonemicFluencyScore,picnicScene,baseline,r2,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970
PhonemicFluencyScore,picnicScene,baseline,rmse,4.64788607035254,4.432228909971121,4.882148769981606,970
PhonemicFluencyScore,picnicScene,baseline,mae,3.710294012139301,3.541223303623719,3.8752404006172188,970
PhonemicFluencyScore,picnicScene,demographics,r2,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970
PhonemicFluencyScore,picnicScene,demographics,rmse,4.60995278538301,4.396851657191826,4.834972731124061,970
PhonemicFluencyScore,picnicScene,demographics,mae,3.6830629725882327,3.507446476702891,3.8453227833894337,970
PhonemicFluencyScore,picnicScene,full,r2,-0.013027495201894048,-0.09307127306324267,0.04884036182465358,970
PhonemicFluencyScore,picnicScene,full,rmse,4.671698938773562,4.45708053568256,4.9153551584632345,970
PhonemicFluencyScore,picnicScene,full,mae,3.705886407823121,3.533611379327162,3.8729797323700037,970
PhonemicFluencyScore,picnicScene,linguistic,r2,-0.022465212021188292,-0.0730481220053987,0.01896342816106267,970
PhonemicFluencyScore,picnicScene,linguistic,rmse,4.6941645469815265,4.477508994190807,4.935886272486016,970
PhonemicFluencyScore,picnicScene,linguistic,mae,3.7373867011228246,3.563144458627548,3.9113177848222107,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,r2,-0.012945346553742286,-0.09149438883911847,0.04734502188130038,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,rmse,4.671550156624405,4.456962329889129,4.919472524624226,970
PhonemicFluencyScore,picnicScene,linguistic+acoustic,mae,3.7100316497266492,3.5356865949786056,3.8737647002672104,970
