task,target,A,B,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot,p_raw,p_adj,adjust
picnicScene,PictureNamingScore,baseline,acoustic,-0.15364985674018874,-0.2286701112319997,-0.080648637283893,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,baseline,linguistic,-0.23846368584384622,-0.3258737538627293,-0.13373775926801237,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,baseline,linguistic+acoustic,-0.282750903137553,-0.37880754144218903,-0.17573630751148261,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,baseline,full,-0.27053028402087076,-0.3660548627581371,-0.16315943970892346,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,demographics,acoustic,-0.15167576886941386,-0.22132893947008608,-0.08294004091293038,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,demographics,linguistic,-0.23648959797307137,-0.3193320241110027,-0.13880685653818794,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,demographics,linguistic+acoustic,-0.28077681526677817,-0.3696446538285733,-0.18422929204356756,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,demographics,full,-0.26855619615009585,-0.3575586886778208,-0.16732908505297497,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,acoustic,linguistic+acoustic,-0.12910104639736425,-0.1891089732204632,-0.06749894468248334,0.0,959,1000,0.0,0.0,holm
picnicScene,PictureNamingScore,acoustic,full,-0.11688042728068197,-0.17790209693495396,-0.05256013805502696,0.001,959,1000,0.001,0.006,holm
picnicScene,PictureNamingScore,linguistic,linguistic+acoustic,-0.04428721729370676,-0.08248424838802718,-0.010381320761403023,0.01,959,1000,0.01,0.05,holm
picnicScene,PictureNamingScore,linguistic+acoustic,full,0.012220619116682287,0.0019442804461974705,0.02261821835368037,0.015,959,1000,0.015,0.06,holm
picnicScene,PictureNamingScore,acoustic,linguistic,-0.08481382910365748,-0.15593323080348867,-0.0119866246784932,0.025,959,1000,0.025,0.07500000000000001,holm
picnicScene,PictureNamingScore,linguistic,full,-0.03206659817702448,-0.06913798970836005,0.0010894465920898869,0.072,959,1000,0.072,0.144,holm
picnicScene,PictureNamingScore,baseline,demographics,-0.0019740878707748917,-0.01677765902980747,0.014542925851569593,0.789,959,1000,0.789,0.789,holm
